ID,Title,Rate,URL,Directors,Casts,Star,Cover,Cover_X,Cover_Y
26738363,美味的邂逅,4.1,https://movie.douban.com/subject/26738363/,['Lee Jun (이전)'],['李采潭'],20,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322901021.jpg,740,1037
26720343,少女夜蒲,3.2,https://movie.douban.com/subject/26720343/,['杜泓达'],"['彭禺厶', '李洛伊']",15,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2318260601.jpg,1242,2208
26921952,校合唱团的秘密,8.8,https://movie.douban.com/subject/26921952/,['克里斯托弗·迪克'],"['索菲娅·绍莫希', '多尔卡·海斯', '多尔卡·加斯帕法维', '波芭拉·卡拉迪', '彼得·布雷扬']",45,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2417536874.jpg,2008,2894
26412593,丘吉尔的秘密,7.2,https://movie.douban.com/subject/26412593/,['查尔斯·斯特里奇'],"['迈克尔·刚本', '琳赛·邓肯', '萝玛拉·嘉瑞']",35,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2315395705.jpg,1065,1500
26635418,第88届奥斯卡颁奖典礼,6.1,https://movie.douban.com/subject/26635418/,['Glenn Weiss'],['克里斯·洛克'],30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2308747065.jpg,3415,5000
26661641,饥饿艺术家,6.2,https://movie.douban.com/subject/26661641/,['足立正生'],"['山本浩司', '田口智朗']",30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2301543794.jpg,640,906
26306646,贝壳收藏家,5.8,https://movie.douban.com/subject/26306646/,['坪田義史'],['桥本爱'],30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2268764031.jpg,2866,4055
26576793,我才不会对黑崎君说的话言听计从,5.3,https://movie.douban.com/subject/26576793/,['月川翔'],"['中岛健人', '小松菜奈', '千叶雄大', '高月彩良', '岸优太']",25,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2295161284.jpg,566,800
26528968,当女人沉睡时,5.2,https://movie.douban.com/subject/26528968/,['王颖'],"['北野武', '西岛秀俊', '忽那汐里', '小山田小百合', '中川雅也']",25,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2277059662.jpg,456,640
27059071,时空罪犯,5.1,https://movie.douban.com/subject/27059071/,['Gaurav Seth'],"['达蒙·鲁尼恩', '朱利安·瑞钦斯', '米歇尔·诺尔顿']",25,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461070941.jpg,648,936
26683685,珍游记,4.6,https://movie.douban.com/subject/26683685/,['山口雄大'],"['松山研一', '仓科加奈', '沟端淳平', '田山凉成', '笹野高史']",25,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2293864362.jpg,2200,3100
26730767,再见美人鱼,3.1,https://movie.douban.com/subject/26730767/,['高伟伦'],"['李嘉雯', '雷诺儿']",15,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2320838359.jpg,770,1080
3072064,飞鹰艾迪,8.0,https://movie.douban.com/subject/3072064/,['德克斯特·弗莱彻'],"['塔伦·埃格顿', '休·杰克曼', '克里斯托弗·沃肯', '马克·本顿', '基思·艾伦']",40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2322216899.jpg,1800,2571
26741677,纪实72小时 隆冬的东京 有一种温暖叫“花子”,8.0,https://movie.douban.com/subject/26741677/,[],[],40,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2323786971.jpg,1600,1600
25917624,红心的杰克,7.2,https://movie.douban.com/subject/25917624/,['珍妮特·格里罗'],"['安娜索菲亚·罗伯', '法米克·詹森', '约翰·德利奥', '斯科特·科恩', '伊瑟尔·布罗萨德']",35,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2316394869.jpg,682,1024
