ID,Name,Rating,1stWk Box,Total Box
337443,至爱梵高·星空之谜,9.0,2869,6873
858598,莫斯科陷落,7.9,113,238
1220736,神秘世界历险记4,,6,暂无
1210869,午夜十二点,4.0,57,235
1207100,米花之味,8.5,82,227
558308,绝命时钟2:22,7.8,169,226
1223430,浴血广昌,,12,暂无
344080,第一夫人,7.9,125,213
1211641,美丽童年,,20,104
246596,昨日青空,,,
1189346,时空偷渡少女,,104,199
1205320,玲珑井,3.3,107,198
1218267,亲爱的，我要和别人结婚了,7.9,101,194
879019,西小河的夏天,7.7,79,192
1212344,凌晨两点半,2.4,65,187
1203156,兄弟班,8.7,39,144
836,毕业那年,5.8,62,284
1212979,小狗奶瓶,9.0,暂无,163
1132373,宇宙有爱浪漫同游,7.2,133,155
487449,心灵的阳光,,,
1183637,黄金花,8.5,57,151
1220905,毛骨悚然之红衣男孩,5.0,84,148
493549,大寒,,68,143
341674,命运速递,7.1,92,141
1218043,荒城纪,7.9,83,137
1221379,细思极恐,3.6,28,55
341323,一个人的课堂,9.1,21,137
345663,超能太阳鸭,8.1,1536,2003
642167,飞鸟历险记,8.2,107,131
1208934,因果启示录,8.4,66,131
1220835,伊阿索密码,6.4,100,131
344540,灵魂当铺之时间典当,5.4,74,128
1215629,监狱犬计划,7.3,95,125
337105,夺命来电,6.4,76,122
1220970,蓝色金鱼,,86,103
343447,尼斯：疯狂的心,8.3,47,103
1135401,咖啡风暴,,暂无,101
568602,无眸之杀,5.2,53,98
344983,泡菜爱上小龙虾,,53,95
13457,龙凤斗,7.7,50,1492
1227229,海龙屯,,24,29
343793,村戏,,,
1210870,光影之战,6.2,43,88
1221388,姽婳,3.9,52,33
1182289,一纸婚约,6.1,90,60
1203210,凤凰城遗忘录,6.4,63,75
1218421,理想之路,,38,73
344183,奇门遁甲,7.6,78,21077
1163201,快乐星球之三十六号,7.9,80,20
1207103,北方一片苍茫,8.2,22,32
1213211,家,,4,63
344419,七号公馆,4.7,29,61
78451,我是路人甲,8.2,41,3887
346625,至暗时刻,8.8,1408,3732
344551,清水里的刀子,8.0,56,30
343499,萌学园：寻找盘古,,9,暂无
341999,盲·道,7.5,24,52
346336,冰封迷案,5.9,26,52
1219320,青春不留白,,85,26
1190368,血十三,,32,47
1217239,勇敢往事,,暂无,46
1199011,出·路,,26,19
1211693,时空终点,5.7,25,42
672184,中邪,,,
1220084,破门,,9,40
246276,冰雪女王2：冬日魔咒,7.8,35,2125
1221025,马兰花开,,16,37
1213057,无迹可寻,4.4,16,36
78537,我的影子在奔跑,,14,37
1221133,天佑之爱,,54,24
1204800,余额不足,,26,34
1211555,天籁梦想,8.9,22,33
492964,红盾先锋,,44,1
345972,大耳朵图图之美食狂想曲,8.8,1738,4329
1217885,玩命,,18,30
1199974,大雪冬至,,10,28
1213065,柳毅奇缘,,2,28
1213080,疯狂熊孩子,,21,28
1209177,南哥,,8,51
1221169,三界,,2,27
301,建党伟业,7.0,36,11251
1211086,敦煌不了情,,,
1157354,大导归来,,19,24
1212554,雪·葬,,3,24
1212376,惊魂七夜,4.6,29,85
1227164,左滩,,14,23
1220865,策反,,2,23
1221119,致命夺宝,,13,22
1201231,让我怎么相信你,,暂无,22
1211089,北平以北,,21,95
1208343,毕业旅行笑翻天,7.8,17,22
344264,战狼2,9.7,67,99662
1218563,求求你爱上我,,17,21
248818,潜艇总动员之时光宝盒,8.5,88,192
343526,我是哪吒,8.5,12,993
1220748,天下父母,,13,18
1224953,八只鸡,,61,15
1218422,壹号别墅,,11,18
652628,五度空间,,11,18
248916,铁道飞虎,8.5,21708,69929
338391,湄公河行动,9.3,16541,118301
342203,我的战争,8.2,2481,3619
346658,泰迪熊之玩具大战,7.3,25,661
333688,地下凶猛,,58,7
342173,明月几时有,7.5,3366,6310
1213237,落绕,,10,14
262872,珍珠塔,,1,39
346759,勇士,8.7,42,2016
